row_id,monthly_charges,total_charges,contract,internet_service,paperless_billing_flag,autopay_flag,num_services,senior_citizen_flag,partner_flag,dependents_flag,payment_method,gender,contract_term_months,long_contract_flag,long_contract_and_autopay_flag,electronic_check_flag,mailed_check_flag,bank_auto_flag,card_auto_flag,paperless_or_autopay_flag,paperless_and_autopay_flag,num_streaming,num_security,addon_heavy_flag,service_penetration,charge_gap_vs_avg,monthly_to_total_ratio,mc_z_by_service,mc_pct_by_service,high_price_by_service_flag,fiber_and_high_price_flag,household_type,S_at_h,ChurnRisk_at_h,RiskSegment
3382,90.35,6325.25,Two year,DSL,0,0,8,0,1,0,Electronic check,Male,24,1,0,1,0,0,0,0,0,2,4,1,1.0,1.2619718309859138,1.0141654479946238,1.9833795047366591,0.9850993377483444,1,0,couple_no_kids,0.9996804451623684,0.0003195548376315749,Low
6767,104.8,3886.45,One year,Fiber optic,1,1,6,0,0,0,Bank transfer (automatic),Female,12,1,1,0,0,0,0,1,1,2,2,1,0.75,-3.1569444444444485,0.9707573749733182,1.0502906009636632,0.8250968992248062,1,1,single,0.9956994283870864,0.0043005716129136395,Low
1088,99.9,6137.0,One year,Fiber optic,0,1,5,0,0,0,Bank transfer (automatic),Female,12,1,1,0,0,0,0,1,0,2,1,1,0.625,2.4873015873015873,1.0255336483518642,0.6633376732463507,0.7042958656330749,0,0,single,0.9975692419004065,0.0024307580995934774,Low
1354,80.8,713.1,Month-to-month,Fiber optic,1,0,2,0,0,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,1,0,0,0.25,1.5666666666666629,1.0197728228731202,-0.844989044998687,0.2600129198966408,0,0,single,0.7658407259096456,0.23415927409035442,Medium
194,52.2,52.2,Month-to-month,DSL,1,0,2,0,0,0,Electronic check,Female,1,0,0,1,0,0,0,1,0,0,1,0,0.25,0.0,0.999999999980843,-0.3619793966851746,0.3853476821192053,0,0,single,0.011807665493045485,0.9881923345069545,High
6702,90.1,816.8,Month-to-month,Fiber optic,1,0,4,1,0,0,Electronic check,Female,1,0,0,1,0,0,0,1,0,1,1,1,0.5,-0.6555555555555515,0.9927766895091393,-0.11056818218827648,0.457687338501292,0,0,single,0.7481992593624679,0.2518007406375321,Medium
1589,108.45,7176.55,One year,Fiber optic,0,0,7,0,0,0,Electronic check,Male,12,1,0,1,0,0,0,0,0,2,3,1,0.875,2.9124999999999943,1.0275968257630927,1.338531047120438,0.9018087855297158,1,1,single,0.9969199954519381,0.0030800045480618987,Low
4606,20.45,242.4,One year,No,0,0,1,0,1,1,Mailed check,Male,12,1,0,0,1,0,0,0,0,0,0,0,0.5,-3.7900000000000027,0.8436468646516646,-0.2897313140745842,0.6421052631578947,0,0,family,0.9974036234809718,0.0025963765190282206,Low
958,70.15,3715.65,One year,DSL,1,1,4,0,1,0,Credit card (automatic),Female,12,1,1,0,0,0,0,1,1,2,0,1,0.5,1.3416666666666686,1.0194986072275234,0.7415380942852561,0.7564155629139073,1,0,couple_no_kids,0.9980951384038103,0.0019048615961897442,Low
3088,90.8,4921.2,Month-to-month,Fiber optic,0,0,5,0,0,0,Electronic check,Female,1,0,0,1,0,0,0,0,0,0,3,1,0.625,-2.0528301886792377,0.9778915711509737,-0.05528919251437438,0.48207364341085274,0,0,single,0.9940308374752104,0.0059691625247896285,Low
4599,20.1,190.25,One year,No,0,0,1,0,0,1,Mailed check,Male,12,1,0,0,1,0,0,0,0,0,0,0,0.5,-1.0388888888888879,0.9508541392454262,-0.4516484936403994,0.48223684210526313,0,0,single_with_kids,0.9957537510821043,0.004246248917895712,Low
3915,19.7,260.9,One year,No,0,0,1,0,0,0,Mailed check,Female,12,1,0,0,1,0,0,0,0,0,0,0,0.5,-2.0416666666666643,0.9060942889579413,-0.6366966988584759,0.2509868421052632,0,0,single,0.9949062590481492,0.005093740951850778,Low
1808,99.0,1301.7,Month-to-month,Fiber optic,1,0,5,0,0,0,Mailed check,Male,1,0,0,0,1,0,0,1,0,2,1,1,0.625,-1.130769230769232,0.9887070753531126,0.5922646865227622,0.6711886304909561,0,0,single,0.8888750664087871,0.1111249335912129,Medium
1506,54.2,1152.7,Month-to-month,DSL,1,0,3,0,1,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,0,2,0,0.375,1.8045454545454547,1.0344408779190095,-0.2390248015909762,0.4139072847682119,0,0,couple_no_kids,0.9680996791305925,0.03190032086940753,Low
1660,83.95,2254.2,Month-to-month,Fiber optic,1,0,3,0,0,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,1,0,0,0.375,-2.749999999999986,0.9682814302079784,-0.5962335914661281,0.29941860465116277,0,0,single,0.9513148718570745,0.04868512814292547,Low
760,89.0,1820.45,Month-to-month,Fiber optic,1,0,3,0,1,0,Mailed check,Male,1,0,0,0,1,0,0,1,0,2,0,0,0.375,-2.022500000000008,0.9777802191658349,-0.19743516596155042,0.41101421188630494,0,0,couple_no_kids,0.9417823721434824,0.05821762785651763,Low
3697,19.85,119.3,Month-to-month,No,0,0,1,0,1,1,Mailed check,Female,1,0,0,0,1,0,0,0,0,0,0,0,0.5,-0.03333333333333144,0.9983235540151724,-0.5673036219016966,0.3299342105263158,0,0,family,0.9195263020195283,0.08047369798047166,Low
6658,59.8,3457.45,Two year,DSL,1,1,4,0,1,1,Bank transfer (automatic),Male,24,1,1,0,0,0,0,1,1,0,3,1,0.5,-1.940178571428568,0.9685751059149836,0.10524806467277893,0.5625,0,0,family,0.9997548095468588,0.0002451904531411975,Low
6857,29.9,92.25,Month-to-month,DSL,1,0,1,0,1,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,0,1,0,0.125,-0.8500000000000014,0.9723577235456143,-1.7329231319854868,0.05111754966887417,0,0,couple_no_kids,0.44113146395809205,0.5588685360419079,High
4635,109.45,6572.85,Month-to-month,Fiber optic,1,1,7,0,1,0,Bank transfer (automatic),Male,1,0,0,0,0,0,0,1,1,2,3,1,0.875,-0.09749999999999659,0.9991099751158254,1.417501032368869,0.9177971576227391,1,1,couple_no_kids,0.9969182976577269,0.0030817023422731182,Low
4413,107.75,6332.75,One year,Fiber optic,1,0,7,0,0,0,Electronic check,Female,12,1,0,1,0,0,0,1,0,2,3,1,0.875,-1.4353448275862064,0.9868540523378884,1.2832520574465358,0.8914728682170543,1,1,single,0.9963401988658498,0.003659801134150209,Low
6424,55.65,2421.75,Month-to-month,DSL,0,0,3,1,0,0,Electronic check,Female,1,0,0,1,0,0,0,0,0,0,1,0,0.375,-2.010714285714286,0.9651285227457271,-0.1498827201476826,0.4830298013245033,0,0,single,0.9877845722563261,0.012215427743673901,Low
4565,24.65,1766.75,Two year,No,1,0,2,1,0,0,Mailed check,Male,24,1,0,0,1,0,0,1,0,0,0,0,1.0,-0.23380281690140947,0.990604216742418,1.6532748407152091,0.8483552631578948,1,0,single,0.9995221754691285,0.000477824530871529,Low
2700,49.05,593.05,Month-to-month,DSL,1,1,2,0,0,0,Bank transfer (automatic),Male,1,0,0,0,0,0,0,1,1,0,1,0,0.25,-0.37083333333333,0.9924964168081782,-0.5556328839585374,0.27897350993377484,0,0,single,0.9501060033179618,0.0498939966820382,Low
4841,93.25,4631.7,Month-to-month,Fiber optic,1,1,5,0,1,1,Bank transfer (automatic),Male,1,0,0,0,0,0,0,1,1,1,2,1,0.625,4.178846153846152,1.0469158192338797,0.13818727134428244,0.5158268733850129,0,0,family,0.9981031835479253,0.0018968164520747344,Low
3963,98.7,4920.55,Month-to-month,Fiber optic,0,0,5,0,0,0,Electronic check,Male,1,0,0,1,0,0,0,0,0,2,1,1,0.625,-1.7193877551020478,0.9828779303028805,0.5685736909482331,0.662952196382429,0,0,single,0.9887929614106031,0.011207038589396867,Low
2950,73.75,1756.6,One year,DSL,1,0,5,0,0,0,Mailed check,Female,12,1,0,0,1,0,0,1,0,2,1,1,0.625,-2.623913043478254,0.9656438574392521,0.9628563654548128,0.8000827814569537,1,0,single,0.995379831384692,0.004620168615308007,Low
3561,100.9,6733.15,One year,Fiber optic,1,1,5,0,1,0,Credit card (automatic),Male,12,1,1,0,0,0,0,1,1,2,2,1,0.625,0.4052238805970205,1.004032287997851,0.742307658494782,0.7433785529715762,0,0,couple_no_kids,0.9981081194381076,0.0018918805618923784,Low
2829,75.6,402.5,Month-to-month,Fiber optic,0,0,2,0,0,0,Electronic check,Female,1,0,0,1,0,0,0,0,0,0,0,0,0.25,-4.900000000000006,0.9391304347709424,-1.2556329682905298,0.15310077519379844,0,0,single,0.5799627984280563,0.4200372015719437,High
6587,108.3,7679.65,Two year,Fiber optic,1,1,7,0,1,1,Bank transfer (automatic),Female,24,1,1,0,0,0,0,1,1,2,4,1,0.875,1.6381944444444514,1.015358772851223,1.3266855493331726,0.8997093023255814,1,1,family,0.999754313341792,0.00024568665820801083,Low
926,96.2,3183.4,Month-to-month,Fiber optic,1,0,4,0,0,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,2,1,1,0.5,-3.28125,0.9670163975526341,0.37114872782715486,0.622577519379845,0,0,single,0.9674400133828365,0.03255998661716353,Low
5000,19.75,856.5,Two year,No,0,1,1,0,1,1,Credit card (automatic),Male,24,1,1,0,0,0,0,1,0,0,0,0,0.5,1.1304347826086953,1.060712200760312,-0.6135656732062161,0.2776315789473684,0,0,family,0.9996107278250707,0.00038927217492934485,Low
158,89.55,89.55,Month-to-month,Fiber optic,1,0,3,0,0,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,2,0,0,0.375,0.0,0.999999999988833,-0.15400167407491344,0.43410852713178294,0,0,single,1.364110881639548e-05,0.9999863588911836,High
2576,20.5,77.6,Month-to-month,No,1,0,1,0,1,1,Mailed check,Male,1,0,0,0,1,0,0,1,0,0,0,0,0.5,1.1000000000000014,1.056701030873366,-0.2666002884223244,0.6615131578947369,0,0,family,0.9355593200404417,0.06444067995955827,Low
6267,19.65,978.0,Two year,No,0,1,1,0,0,0,Bank transfer (automatic),Male,24,1,1,0,0,0,0,1,0,0,0,0,0.5,1.1971698113207516,1.0648773005557888,-0.6598277245107357,0.22302631578947368,0,0,single,0.999403152168555,0.0005968478314449799,Low
1547,97.35,2119.5,Month-to-month,Fiber optic,1,0,4,0,0,0,Electronic check,Female,1,0,0,1,0,0,0,1,0,2,0,1,0.5,-3.5785714285714363,0.9645435244065791,0.46196421086285017,0.6413113695090439,0,0,single,0.9253271034271904,0.07467289657280962,Low
1674,49.9,49.9,Month-to-month,DSL,1,0,2,0,0,1,Mailed check,Male,1,0,0,0,1,0,0,1,0,0,1,0,0.25,0.0,0.99999999997996,-0.5033771810435029,0.31436258278145696,0,0,single_with_kids,0.09325278171525066,0.9067472182847494,High
3929,88.95,2072.75,Month-to-month,Fiber optic,1,1,4,0,0,0,Credit card (automatic),Female,1,0,0,0,0,0,0,1,1,1,1,1,0.5,2.5854166666666742,1.0299360752504072,-0.20138366522397175,0.4097222222222222,0,0,single,0.9717900598748163,0.02820994012518374,Low
2094,60.3,4109.0,Two year,DSL,0,1,5,0,1,0,Credit card (automatic),Female,24,1,1,0,0,0,0,1,0,2,3,1,0.625,-0.12647058823529989,0.9979070333249311,0.13598671344632854,0.5842301324503312,0,0,couple_no_kids,0.9995807505996994,0.0004192494003005809,Low
2824,84.45,5899.85,Two year,DSL,0,1,7,1,1,0,Credit card (automatic),Male,24,1,1,0,0,0,0,1,0,2,3,1,0.875,2.5076388888888914,1.0306024729316503,1.6206634492087744,0.9346026490066225,1,0,couple_no_kids,0.9996506208827125,0.00034937911728749604,Low
2727,94.1,5475.9,Month-to-month,Fiber optic,1,1,5,0,1,0,Credit card (automatic),Female,1,0,0,0,0,0,0,1,1,1,2,1,0.625,2.8349999999999937,1.0310633868292218,0.20531175880544855,0.537952196382429,0,0,couple_no_kids,0.9954890311492315,0.004510968850768515,Low
5095,24.5,343.6,One year,No,0,1,2,0,1,1,Bank transfer (automatic),Male,12,1,1,0,0,0,0,1,0,0,0,0,1.0,-1.9307692307692328,0.9269499417577114,1.5838817637584315,0.8351973684210526,1,0,family,0.9983333607418455,0.0016666392581544676,Low
1164,50.45,50.45,Month-to-month,DSL,1,0,2,0,0,0,Mailed check,Female,1,0,0,0,1,0,0,1,0,0,1,0,0.25,0.0,0.9999999999801784,-0.46956466739259817,0.34250827814569534,0,0,single,0.006827265525191334,0.9931727344748087,High
2336,87.55,4884.85,Month-to-month,Fiber optic,1,1,5,0,0,0,Bank transfer (automatic),Female,1,0,0,0,0,0,0,1,1,0,3,1,0.625,1.850877192982452,1.0215973878300804,-0.311941644571776,0.39341085271317827,0,0,single,0.9958115780147596,0.004188421985240387,Low
3930,74.35,4317.35,Two year,DSL,1,1,5,0,0,0,Bank transfer (automatic),Male,24,1,1,0,0,0,0,1,1,2,2,1,0.625,-1.3929824561403592,0.9816090888957457,0.999742743983072,0.8091887417218543,1,0,single,0.9994851418938305,0.000514858106169469,Low
5383,25.0,1738.9,Two year,No,0,1,2,0,1,1,Bank transfer (automatic),Male,24,1,1,0,0,0,0,1,0,0,0,0,1.0,0.8486111111111114,1.0351371556302664,1.8151920202810259,0.8907894736842106,1,0,family,0.9997579526887999,0.00024204731120014422,Low
3455,106.8,5498.8,One year,Fiber optic,1,1,6,0,1,0,Bank transfer (automatic),Male,12,1,1,0,0,0,0,1,1,2,2,1,0.75,-1.0196078431372655,0.9905433912761842,1.2082305714605257,0.8812984496124031,1,1,couple_no_kids,0.9967631652026024,0.0032368347973975586,Low
589,64.4,2088.75,One year,DSL,1,0,5,0,0,0,Mailed check,Female,12,1,0,0,1,0,0,1,0,0,3,1,0.625,2.9661764705882376,1.048282465572404,0.38804363338943576,0.6475579470198676,0,0,single,0.9976773280806106,0.0023226719193893963,Low
1350,104.25,2433.9,Month-to-month,Fiber optic,1,0,6,1,1,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,2,2,1,0.75,2.8374999999999915,1.0279797855192605,1.0068571090770262,0.8065245478036176,1,1,couple_no_kids,0.9551686493020687,0.044831350697931316,Low
4895,19.45,600.25,One year,No,1,1,1,0,1,1,Bank transfer (automatic),Male,12,1,1,0,0,0,0,1,1,0,0,0,0.5,1.2606060606060616,1.069304456417681,-0.7523518271197732,0.12796052631578947,0,0,family,0.9990598059338337,0.0009401940661663,Low
2509,20.5,1424.9,Two year,No,0,1,1,0,0,0,Credit card (automatic),Female,24,1,1,0,0,0,0,1,0,0,0,0,0.5,-0.45441176470588474,0.9783142676212186,-0.2666002884223244,0.6615131578947369,0,0,single,0.9996413395025213,0.00035866049747868,Low
4545,19.85,1379.6,Two year,No,0,1,1,0,1,0,Credit card (automatic),Female,24,1,1,0,0,0,0,1,0,0,0,0,0.5,0.4190140845070438,1.0215642214609082,-0.5673036219016966,0.3299342105263158,0,0,couple_no_kids,0.9996495808099534,0.0003504191900466358,Low
2853,35.4,1748.9,One year,DSL,1,0,2,0,0,0,Mailed check,Male,12,1,0,0,1,0,0,1,0,0,2,0,0.25,0.42199999999999704,1.0120647263705167,-1.3947979954764413,0.0939569536423841,0,0,single,0.998095785825599,0.0019042141744010088,Low
1715,79.25,267.6,Month-to-month,Fiber optic,0,0,2,0,0,0,Electronic check,Male,1,0,0,1,0,0,0,0,0,1,0,0,0.25,-9.950000000000003,0.888452914788246,-0.9673925221337552,0.20025839793281655,0,0,single,0.1150350161569085,0.8849649838430915,High
4198,94.85,335.75,Month-to-month,Fiber optic,1,0,4,1,0,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,2,0,1,0.5,-17.066666666666677,0.8475055845047131,0.264539247741772,0.5733204134366925,0,0,single,0.044165323462716934,0.955834676537283,High
4388,87.8,2621.75,Month-to-month,Fiber optic,1,1,3,0,1,1,Credit card (automatic),Female,1,0,0,0,0,0,0,1,1,2,0,0,0.375,-2.605172413793113,0.9711833698757835,-0.29219914825966814,0.3953488372093023,0,0,family,0.991754618858813,0.008245381141187003,Low
1028,78.8,78.8,Month-to-month,Fiber optic,0,0,2,0,1,0,Electronic check,Female,1,0,0,1,0,0,0,0,0,1,0,0,0.25,0.0,0.9999999999873096,-1.0029290154955495,0.1847545219638243,0,0,couple_no_kids,7.745083034699586e-06,0.9999922549169653,High
1878,105.5,2686.05,Month-to-month,Fiber optic,1,0,6,0,0,0,Electronic check,Male,1,0,0,1,0,0,0,1,0,2,3,1,0.75,-1.9420000000000073,0.981925131689824,1.1055695906375653,0.8498062015503876,1,1,single,0.9707628520649026,0.029237147935097352,Low
5231,114.6,8100.25,Two year,Fiber optic,0,1,8,0,1,1,Bank transfer (automatic),Female,24,1,1,0,0,0,0,1,0,2,4,1,1.0,0.5119718309859138,1.0044875158086084,1.8241964563982893,0.97593669250646,1,1,family,0.999866756234942,0.00013324376505796653,Low
5607,75.35,75.35,Month-to-month,Fiber optic,0,1,2,0,1,0,Credit card (automatic),Male,1,0,0,0,0,0,0,1,0,0,1,0,0.25,0.0,0.9999999999867285,-1.2753754646026376,0.1438953488372093,0,0,couple_no_kids,0.0076927978126579855,0.992307202187342,High
6950,108.75,7493.05,One year,Fiber optic,1,1,7,0,1,1,Bank transfer (automatic),Female,12,1,1,0,0,0,0,1,1,2,3,1,0.875,0.15507246376810713,1.0014279899281202,1.362222042694967,0.9058462532299741,1,1,family,0.9994579436794795,0.000542056320520512,Low
5415,54.65,1517.5,Month-to-month,DSL,0,1,3,0,0,0,Bank transfer (automatic),Female,1,0,0,0,0,0,0,1,0,0,2,0,0.375,0.4535714285714292,1.008369027987984,-0.2113600176947818,0.4379139072847682,0,0,single,0.9889289344340835,0.011071065565916527,Low
4026,85.1,6155.4,Two year,DSL,0,0,7,0,1,0,Mailed check,Female,24,1,0,0,1,0,0,0,0,2,4,1,0.875,-0.3916666666666657,0.9954186567775173,1.6606236926143882,0.9437086092715232,1,0,couple_no_kids,0.9996618334849273,0.0003381665150726798,Low
383,20.55,20.55,Month-to-month,No,0,0,1,0,0,0,Electronic check,Male,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0.0,0.9999999999513381,-0.24346926277006464,0.6796052631578947,0,0,single,0.31548435312365,0.68451564687635,High
2207,24.7,1642.75,One year,No,0,0,2,0,0,0,Mailed check,Female,12,1,0,0,1,0,0,0,0,0,0,0,1.0,-0.9679687500000007,0.9622888448871791,1.6764058663674688,0.8539473684210527,1,0,single,0.9985002173699249,0.0014997826300751083,Low
3237,67.45,3252.0,Month-to-month,DSL,1,1,5,1,1,0,Credit card (automatic),Female,1,0,0,0,0,0,0,1,1,0,3,1,0.625,-1.741489361702122,0.9748308732946442,0.5755493909080881,0.7119205298013245,0,0,couple_no_kids,0.9956139577714559,0.004386042228544107,Low
6293,100.65,5189.75,One year,Fiber optic,1,0,5,1,1,0,Electronic check,Female,12,1,0,1,0,0,0,1,0,2,1,1,0.625,-3.144999999999996,0.9696998891953399,0.7225651621826742,0.7357881136950905,0,0,couple_no_kids,0.9955783912018056,0.004421608798194421,Low
2890,58.35,740.55,Month-to-month,DSL,1,1,3,0,1,1,Credit card (automatic),Female,1,0,0,0,0,0,0,1,1,1,1,0,0.375,-3.362499999999997,0.9455134697031313,0.016105983229485372,0.5254552980132451,0,0,family,0.9821869968285933,0.01781300317140666,Low
5078,20.35,150.6,Month-to-month,No,0,0,1,0,0,0,Mailed check,Female,1,0,0,0,1,0,0,0,0,0,0,0,0.5,-1.164285714285711,0.9458831340861809,-0.3359933653791021,0.5996710526315789,0,0,single,0.8397812159294116,0.16021878407058843,Medium
891,50.7,151.3,Month-to-month,DSL,0,1,2,0,0,0,Credit card (automatic),Female,1,0,0,0,0,0,0,1,0,0,1,0,0.25,12.875,1.3403833443135391,-0.45419534300582337,0.3538907284768212,0,0,single,0.48820300858848853,0.5117969914115115,High
5519,74.45,1261.35,Month-to-month,Fiber optic,1,1,2,1,0,0,Bank transfer (automatic),Male,1,0,0,0,0,0,0,1,1,0,0,0,0.25,-4.3843749999999915,0.9443849843301938,-1.346448451326225,0.10804263565891473,0,0,single,0.9476863580815611,0.0523136419184389,Low
11,69.7,316.9,Month-to-month,Fiber optic,1,0,1,0,0,1,Electronic check,Male,1,0,0,1,0,0,0,1,0,0,0,0,0.125,6.320000000000007,1.0997159987204213,-1.7215558812562735,0.022448320413436692,0,0,single_with_kids,0.575107790407077,0.42489220959292295,High
2537,116.1,8310.55,Two year,Fiber optic,1,1,8,0,1,0,Bank transfer (automatic),Male,24,1,1,0,0,0,0,1,1,2,4,1,1.0,-0.9499999999999886,0.9918838103289886,1.9426514342709362,0.9904715762273901,1,1,couple_no_kids,0.9997406821439435,0.0002593178560564846,Low
1220,74.9,147.15,Month-to-month,Fiber optic,0,1,2,0,0,0,Credit card (automatic),Female,1,0,0,0,0,0,0,1,0,0,0,0,0.25,1.3250000000000028,1.0180088345087597,-1.3109119579644308,0.12386950904392764,0,0,single,0.22205754682556778,0.7779424531744322,High
4196,19.85,535.05,One year,No,0,0,1,0,0,1,Mailed check,Male,12,1,0,0,1,0,0,0,0,0,0,0,0.5,1.4000000000000021,1.075880758749275,-0.5673036219016966,0.3299342105263158,0,0,single_with_kids,0.9975690180461476,0.0024309819538523847,Low
470,76.35,76.35,Month-to-month,Fiber optic,0,0,2,0,0,0,Electronic check,Female,1,0,0,1,0,0,0,0,0,0,1,0,0.25,0.0,0.9999999999869024,-1.1964054793542063,0.166343669250646,0,0,single,0.00038526750718907704,0.999614732492811,High
4242,35.4,1412.4,One year,DSL,0,1,2,0,1,1,Credit card (automatic),Female,12,1,1,0,0,0,0,1,0,0,2,0,0.25,0.9512195121951166,1.0276125743117162,-1.3947979954764413,0.0939569536423841,0,0,family,0.9993920338661186,0.0006079661338813658,Low
3448,19.55,128.6,Month-to-month,No,0,0,1,0,0,1,Mailed check,Male,1,0,0,0,1,0,0,0,0,0,0,0,0.5,-1.8833333333333329,0.9121306375935242,-0.7060897758152537,0.1713815789473684,0,0,single_with_kids,0.8745341974953244,0.12546580250467565,Medium
1907,99.65,6311.2,One year,Fiber optic,1,1,5,0,1,0,Credit card (automatic),Female,12,1,1,0,0,0,0,1,1,2,1,1,0.625,-0.5277777777777715,0.9947315882775593,0.643595176934243,0.6947674418604651,0,0,couple_no_kids,0.997881769562955,0.0021182304370449545,Low
3673,61.4,438.9,Month-to-month,DSL,0,0,4,0,0,0,Electronic check,Female,1,0,0,1,0,0,0,0,0,0,3,1,0.5,-1.2999999999999972,0.9792663476717821,0.20361174074813773,0.6103062913907285,0,0,single,0.9041979437617568,0.09580205623824323,Low
6056,73.45,5329.0,Two year,DSL,1,1,5,1,1,0,Credit card (automatic),Male,24,1,1,0,0,0,0,1,1,2,1,1,0.625,-0.5638888888888829,0.9923813098008161,0.9444131761906832,0.7961506622516556,1,0,couple_no_kids,0.999522117760095,0.0004778822399049698,Low
4568,89.9,2433.5,Month-to-month,Fiber optic,0,1,4,0,1,0,Credit card (automatic),Female,1,0,0,0,0,0,0,1,0,1,2,1,0.5,2.989285714285714,1.034394904446697,-0.12636217923796184,0.4492894056847545,0,0,couple_no_kids,0.9799184999509681,0.020081500049031864,Low
2432,75.05,202.9,Month-to-month,Fiber optic,0,0,2,1,0,0,Mailed check,Female,1,0,0,0,1,0,0,0,0,0,1,0,0.25,7.416666666666657,1.1096599309840856,-1.2990664601771666,0.13194444444444445,0,0,single,0.35249693630873746,0.6475030636912625,High
6362,25.15,476.8,Month-to-month,DSL,0,0,0,0,0,0,Mailed check,Male,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.3388888888888921,0.9494546979507336,-2.024940295334208,0.023385761589403975,0,0,single,0.9475994804509503,0.05240051954904967,Low
5461,48.8,349.8,Month-to-month,DSL,0,0,2,0,1,1,Electronic check,Female,1,0,0,1,0,0,0,0,0,0,0,0,0.25,-1.171428571428578,0.9765580331422643,-0.5710022083453121,0.2717301324503311,0,0,family,0.921052860300804,0.07894713969919598,Low
